word	meaning	sent_lc	sent_en
a (prep)	of, to, from, at, with, to have	Li kouri a lékòl.	He goes to school.
abichud (aux v.)	used to (accustomed to)	Yé pa abitchud tendé moun parlé Kréyol.	They are not used to hearing people speak Creole.
(l)abitan (n.)	Farmer	Mo komens ashté gombo é patat sur la shmin, é mo t'apé ashté ça avèk lê abitan a klo.	I'm starting to buy okra and sweet potatoes on the road, and I used to buy that from farmers in the field.
(l)abri (n.)	Shelter	Lapli ap tombé. Mèt mwa a labri.	The rain is falling. Put me in a sheltered place.
adrwa (adv.)	right (direction)	Mo gen særvi jish avèk mô mìn adrwa pou ékri.	I have use just with my right hand to write.
Afrikin (n., adj.)	African	Ina moun ki olé to pèl yé ìn Afrikin.	There are people who want you to call them an African.
agosh (adv.)	Left	Nom-çala goshé. Li fé tou kishòj avèk sô lamìn agosh.	That man is left handed. He does everything with his left hand.
(l)aj (n.)	age	A laj ki mo yê.	At my age.
aklé (v.)	to lock	Mo toujour aklé lapòrt avan mo gonn koushé.	I always lock the door before I go to bed.
akoz (conj.)	because	Çé akoz lapli mo sòrti pa déyòr.	It's because of the rain that I'm not going outside.
alentour (prep.)	around, approximately, about	Mo mèt ìn ti bònom fé a lapay endan mô jardin pou lansé zozo ki ap vini alentour.	I put a scarecrow made of straw in my garden to chase away birds that come around.
alé (v.)	to go	L'alé a lékòl bonnœr matin-çila.	He went to school early this morning.
alfabèt (n.)	alphabet		
Alman (n., adj.)	German	Mô gran-pær té Alman. Li sòrti dan Alman.	My grandfather was German. He came from Germany.
alon (aux v.)	Let's	Alon rèsté isit, alon fé ìn diné!	Let's stay here, let's make dinner!
alòr (int.)	then, so	Mo té édé lantèrman yær é mo té dékourajé. Alòr mo pa fé oken louvraj jòrdi.	I went to help at the funeral yesterday and I was depressed.&nbsp; So I didn't do any housework today.
(z)ami (n.)	friend	Mo galopé koté mô zami en lari.	I ran into my friend on the street.
(l)amour (n.)	love	Ìn jour li wa ìn jœn nonm entré dans lamézon koté sô-chin é li vini amour li.	One day she saw a young man go into the house next door to hers and she fell in love with him.
(l)amourè (n.)	boyfriend, lover (male)	Tô bel, çé tô lamourè paréy.	Your sweetheart is the same thing as your boyfriend.
(z)an (n.)	year (for counting age)	Famiy-çala té viv dan Lavil vin an.	That family lived in New Orleans for twenty years.
(l)andoui (n.)	andouille (sausage)	Si vou'lé dòt kishòj, vou kapab mèt çé gro andoui boukònné.	If you want something else you can put in some of that big smoked sausage.
(l)ané (n.)	year	Mèm lané mo né, mo krò.	Same year I was born, I believe.
anmær (adj.)	bitter	Pou malaria ou la fyèv tranasont, to prenn dimongilyé é to fé ìn gro paké. Bouyi byin jiska li anmær anmær.	For Malaria or the slow fever, take some marsh elder and make a big bundle. Boil it well until it turns bitter bitter.
ap(é) (aux. v.)	progressive marker (present tense)	M'ap montré twa kòm yé dans!	I'm going to show you how they danse!
aprenn (v.)	to learn	Kan mo té douz an, mo aprenn koud é mo fé ìn ròb.	When I was twelve, I learned to sow and I made a dress.
apré (adv. prep.)	after	Apré sòrti lamès, mo vini isit kwi mô dinn.	After I got out of mass, I came here to cook my dinner.
aprémidi (n.)	afternoon	Mo krò mo gen jou kart démin aprémidi.	I think I have to play cards tomorrow afternoon.
aout (n.)	August	Sô fèt çé dan Aout.	His birthday is in August.
arété, arét (v.)	to stop	Piti-la trò frengan. Li arét pa.	The child is too lively. He doesn't stop.
arivé, ariv (v.)	1. to arrive<br>2. to happen	1. Li p'arivé enkòr.<br>2. Mo tandé kishòj. Ça ki ap arivé?	1. He hasn't arrived yet.<br>2. I heard something. What's happening?
(pa) ariyin (n.)	nothing (usually used with pa)	Gar mô mari. Pli vyœ pasé mò li pa koné ariyin.	Look at my husband. He's older than me and he knows nothing.
asé (adv.)	enough	Mo gen asé a twa.	I've had enough of you.
asit (v.)	to sit	Toumoun té asit alentour miray-la.	Everyone was seated around the wall.
astœr (adv.)	now	Toukishòj çé ashté astœr. Toukishòj çé dan boutik.	Everything can be bought now. Everything is in the stores.
aswa (n.)	tonight, this evening	Èske ina ìn plas pou nou dormi isit aswa?	Is there a place for us to sleep here tonight?
ashté, ashèt (v.)	to buy	M'ashté ìn gato. Li té tou fé é li bon.	I bought a cake. It was already made and it was good.
avan (adv.)	before	Démin maten mo gen pou lévé bonnœr avan soley lèv.	Tomorrow morning I have to get up before sunrise.
avansé, avans (v.)	to make progress	Vou avansé avèk vou kréyòl?	Are you making progress with your Creole?
aværti (v.)	to warn	Mo aværti yé pou joué dan shmin.	I warned them about playing in the street.
avèk (conj.)	with	Li té vini pasé ìn Dìmansh avèk nouzòt.	She came and spent a Sunday with us.
Avril (n.)	April	Kan çé prèmyé Avril é mo di twa kèkènn ap pélé twa mé mo menti. Mo joué ìn fars.	When it's April first and I tell you someone's calling you but I lied. I played a trick.
babìnn (n.)	Lip	Bouton lafyèv, to gen yé en to babìnn ou en to nènn.	Fever blisters, you get them on your lips or on your nose.
bal (n.)	1. dance (social gathering)<br>2. bullet	1. Li té olé donn ìn gran bal é ìn gran soupé.	1. She wanted to give a big ball and a grand dinner.
balé (n.)	broom	Mo prenn ìn balé é mo balé tou fey-yé ensemn.	I take a broom and I sweep all the leaves together.
balé, bal (v.)	to sweep	No gen ìn ta ki nètwa dévan, souyé lê tab é pasé balé, souyé planshé-la.	We have a lot who clean up in front, wipe the tables and sweep, mop the floors.
baloté, balot (v.)	to stagger	Mo mari té koutim baloté ìn ta kan li t'apé bwar labyær.	My husband used to stagger a lot when he would drink beer.
(la)bank (n.)	bank	Mo gen mô larjen dan labank.	I have my money in the bank.
banndjo (n.)	banjo	Té koné joué ìn banndjo.	They used to play the bandjo.
(la)barb (n.)	beard	Tô vyœ popa té gen ìn lon labarb.	Your grandfather had a long beard.
barbi (n.)	catfish	Yé kouri pèshé, yé kouri trapé krébis, barbi é patassa.	They go fishing, they go catch crawfish, catfish and perch.
barbouyé, barbouy (v.)	to get dirty	Kan yé té manjé, yé té barbouyé tou yê labouch.	When they would eat, they would get their mouths all dirty.
baré, bar (v.)	to lock (with a bar), to block	To mèt ìn bar en travèr pòrt-la pou baré li. Çé baré. Çé pa aklé.	You put a long piece of wood across the door to block it shut. It's barred It's not locked.
bat (v.)	1. to fight<br>2. to strike<br>3. to beat	1. Yé olé bat kòm sha é shyin.<br>2. Ça çé vyœ moun-yé té kommen bat tambou en ça.<br>3. Yé fé èlèksyon pou voté pou oté wiski. É femn-yé bat nomn-yé. Yé shinen pou oté wiski.	1. The wanted to fight like cats and dogs.<br>2. That's how old folks used to beat drums to that [song].<br>3. They had an election to vote to get rid of whiskey. And the women beat the men. They won to get rid of whiskey.
bati (v.)	to build	Yé kan ashté latær é bati ìn bon kabann.	They can buy some land and build a nice home.
batimen (n.)	ship	Misyé Nohé té gen ìn neg é ìn negris li té ashté dan ìn batiman Massatchiset ki té sorti volé neg Guinea.	Mr. Noah had a black mand and a black woman he had bought from a ship in Massachussetts which had just stolen some blacks from Guinea.
batimen-d-ær (n.)	airplane		
batis (n.)	building	Y'ap bati ìn batis, ìn gro batis.	They are constructing a building, a big building.
bato (n.)	boat	Yé té gen plin bato, é yé té gen lè apé dansé en lamær. Kèk senm té lévé é zòt-la té bèsé.	There were a lot of boats, and they looked like they were dancing on the sea. Some were going up, and the others were going down.
baton (n.)	stick, pole, stem/stalk	M'apé marshé avèk ìn baton pa pou mo tombé.	I'm walking with a stick so I don't fall.
baton-mayi (n.)	cornstalk	Yé té bril baton-koton é yé té bril baton-mayi osit.	The used to burn cotton stalks and hey burned cornstalks too.
bayou (n.)	bayou	Mo lenm jèté kayou dan bayou é wa dolo boujé.	I like to throw stones in the bayou and watch the water move.
bæk (adj.)	back	Ki-çila ki bæk ensenm?	Who are the ones that are back together?
bezwin (n.)	to have to, need to, must	Mo bezwin travayé dur pou fini louvraj-la.	I have to work hard to finish this job.
bèñé (n.)	beignet	To fé bèñé manjé avèk siro.	You make beignets to eat with syrup.
bétay (n.)	animal/livestock	Kan bétay-la vini trapé napa, 'penm!'. Li a færmé ça sô latèt ou sô pat.	When the animal comes to get the bait, bam! It shuts on his head or paw.
bèf (n.)	cow	Çé ìn gro bèf Takapa. Yé gen gro kòrn.	It's a big Attakapas steer. They have big horns.
bèl (1. adj., 2. n.)	1. beautiful<br>2. girlfriend, female lover	1. Li té ìn bèl rob.<br>2. La fiy ki li vini avèk çé ça bèl.	1. She had a beautiful dress.<br>2. The girl he came with is his girlfriend.
bèl-fiy (n.)	daughter-in-law	Li mariyè mô fis, li mô bèl-fiy.	She married my son, she's my daughter-in-law.
bèl-mær (n.)	mother-in-law, stepmother	Li moman a mô mari, li mô bèl-mær.	She is my husband's mom, she is my mother-in-law.
bèl-sœr (n.)	sister-in-law	Li sœr-la a mô mari, li mô bèl-sœr.	She is my husband's sister, she is my sister-in-law.
bèñé, bèñ (v.)	1. to swim<br>2. to bath	1. Mo bèñé dan larivyær.<br>2. Non, li pa ap dòrmi, li ap bèñè.	1. I swam in the river.<br>2. No, he isn't sleeping, he's taking a bath.
bèt (adj.)	1. stupid<br>2. animal	1. Li di piti-yé oté dan latèt déshou, é nouzòt té si bèt a nou kouri wa.	1. He said that children came out from inside the heads of cabbage, and we were so stupid we went to see.
(La)Bib (n.)	Bible	Mo asit ap lir ìn særmon dan mo Labib.	I'm sitting reading a sermon in my Bible.
bisik (n.)	bicycle	Enba larb yé gen ìn bisik.	Under the tree there is a bicycle.
biy (n.)	bead	Yé té fé kòlyé avèk biy é to fé shaplé osit.	They used to make necklaces with beads and they made rosary beads too.
blan (1. n., 2. adj.)	1. blond<br>2. white<br>3. cotton, silk	1. Ìn miraini çé keken ki byen kler avek ìn tet blan ou ben ìn tet rouj.<br>2. No té gen de madam blan ki resté dévan lamézon mô moman, é yé té parl fransé.<br>3. Lagrenn koton, Lagrenn-la dan blan-la.	1. A miraini is someone with very light skin and blond or red hair.<br>2. We had two white women who lived in front of my Mom's house, and they spoke French.<br>3. The cotton seed. The see is in the cotton silk.
blanshi (v.)	to whiten	Yé té koutmen blanshi fòs endan simityèr mé astœr plito moun sèrvi lapentur.	They used to whitewash the graves in the cemetery but now instead people use paint.
blèsé, blés (v.)	to injure	Inavé ìn laksidan dan shmin-la laba-la. Inavé dê moun blèsé.	There was an accident on the road over there. There was some people hurt.&nbsp;
(ou)bliyé, bliy (v.)	to forget	Plen defwa mo bliy ça m'ap alé fé.	Often I forget what I am doing.
bo-fis (n.)	son-in-law	Li mariyé mô fiy, li mô bo-fis.	He married my daughter, he is my son-in-law.
bo-frær (n.)	brother-in-law	Li frær-la a mô fenm, li mô bo-frær.	He's my wife's brother, he's my brother-in-law.
bokou (adj., adv.)	much, alot, many, very	Si to lèvé ìn shval tô-minm ou si to ashté li, ça fé pa bokou diférens.	If you raise a horse yourself&nbsp; or you buy it, there's not much difference.
bon (adj.)	1. good<br>2. okay, all right, fine<br>3. right, correct<br>4. jump, leap	1. Bon wiski fé to dê byin.<br>2. Mo bon la, mo bon.<br>3. To bon.<br>4. Li fé ìn bon desi ban-la.	1. Good whiskey does you some good.<br>2. I'm okay here, i'm fine.<br>3. You're right.<br>4. He jumped onto the bench.
Bondjè (n.)	God	Bondjè beni vou.	God bless you.
bonjou (int.)	hello	Bonjou Misyé, komen ça va? Vou sen vou-minm byin?	Hello sir, how are you? Do you feel well?
bon-marshé (adj.)	cheap	Dan tem-çala, toukishòj té bon-marshé.	In those days, everything was inexpensive.
Bonn fét! (phr.)	Happy Birthday!		
bonn-aryin (adj.)	good for nothing	To jish ìn bonn-aryin. To pa koné ça t'olé fé.&nbsp; To jish ap gavyònen tou partou.	You're just a good for nothing. You dont know what you want to do.You're just wandering aimlessly everywhere.
bonnœr (adj.)	early	To bonnœr jòrdi. Mo t'ap atan pou twa plu tar.	You're early today. I was expecting you later.
bonswa (int.)	good evening, good night	Bonjour çe ki di dan lamatin é bonswa çe lê swa.	Good day is what you say in the morning and good evening in the night.
bo-pær (n.)	father-in-law, stepfather	Mo mari té dans byin é mô bo-pær té di dê fars.	My husband danced well and my father-in-law would tell some jokes.
boskoyo (n.)	cypress knee (exposed root of a cypress tree)	Ékan ina dolo ho é to va pa wa boskoyo, t'ap bokshé apré li é t'ap tombé.	When there is a flood and you don't see a cypress knee, you will trip on it and fall.
bòl (n.)	bowl	Mo mèt mô bòl frwi en mô bìfèt.	I put my fruit bowl on my buffet.
bòs (1-3. n., 4. v.)	1. boss<br>2. blister, bump, swelling<br>3. bus<br>4. to break, to burst	1. Li té toujou krò ke Bon Djé té bòs dan syèl é nonm té bòs en latær.<br>2.Ça fé ìn bos é çé té gìn lapostim endan.<br>3. Le bos pou sharyé le piti.<br>4. To bos ìn bouton enlær tô lafigi.	1. He had always believed that God was the boss in heaven and man was the boss on Earth.<br>2. It made a bump and it had pus in it.<br>3. Buses for carrying kids (to school).<br>4. You broke open a pimple on your face.
bòt (n.)	boots	Mo kompoñi fourni kapo lapli, dê bòt é tou.	My company furnishes raincoats, some boots and everything.
(la)bou (n.)	mud	Ka li lav li, labou-la tomb par-enba.	When he washes it the mud falls to the bottom.
boudin (n.)	boudin (sausage)		
boug (n.)	guy, man, dude	Mo frær tombé dan un batay yær-o-swa. Inavé ìn boug ki koupé li.	My brother got into a fight last night. There was a guy who cut him.
bouklè, bouk (v.)	to fasten, to attach	Li bouklé sô sentiron.	He buckled his belt.
(la)boukònn (n.)	smoke	Ina laboukònn ap sòrti dan lamézon.	There is smoke coming out of the house.
boukònné (1. v., 2. adj.)	1. to smoke (meat)<br>2. smoked	É lavyann, no té boukònn ça.	And meat, we would smoke that.
boulværsé, boulværs (v.)	to upset, to change suddenly	Kan kou-d-tem ap vini, gwalan-ye ap vòltijé tou partou, kan tem ap boulværs.	When the bad weather is coming, the seagulls fly around everywhere, when the weather is changing suddenly.
bounda (n.)	buttocks	Kan li marshé, bounda li tranblé.	When she walks, her butt it shakes.
(la)boush (n.)	mouth	L'ap bouré sô laboush é l'ap ouvé li gran kom mo pa koné ki.	He's stuffing his mouth and he's opening it big like I don't know what.
(la)boushri (n.)	boucherie (communal hog roast)	Fé té boushri. No té fé la tèt fromaj, la pans-la, plin ça avèk letrip-yé, to koné, sézonné ça byin fé graton, lê andoui.	Used to have hog butcherings, we made head cheese, pig's stomach, filled the intestines, you know, seasoned that well and make crackling, sausages.
bout (n.)	1. end (of an object, time period)<br>2. a bit, a ways (distance or time)<br>3. a bit (a piece)<br>4. place	1. Ça çe ìn bout a lakòrd-la. Trapé lòt bout é to mèt dé bout ensenm.<br>2. Mo marshé ìn bout pou sorti, mo tournen bek.<br>3. Breshtein, çé ìn bout deshenn ki apré lanng konm ça.<br>4. Mwa no fou pa mal, parské apré nou té vini gron, le neg va dan ìn bout, le blon té kouri don ìn bor.	1. This is one end of the rope. Grab the other end and you put two ends together.<br>2. I took a few steps to go out, but I turned back.<br>3. A breast chain is a piece of chain about so long.<br>4. It makes no difference to me, because after we've grown up, blacks go one way and whites go the other.
bout-d-tem (n.)	awhile	Li té koné resté dan magazen-la pou en bout-d-tem.	He was able to live for awhile in the store.
boutéy (n.)	bottle	Donn piti-la sô boutéy.	Give the baby his bottle.
boutik (n.)	store	Madam-la travay, yé gen trwa boutik-yé.	The woman works, they've got three stores.
bouyi, bouy (v.)	to boil	Dézèf-la gen bouyi pou sink minit.	The egg has to boil for 5 miniutes.
bra (n.)	arm	Mo t'apé mènné mô ti bébé dan mô bra.	I was carrying my baby in my arms.
branshaj (n.)	twigs, kindling	Yé koupé dibwa-la, é çé tou dê branshaj ina la, é yé lésé yé la.	They cut wood there, and it's full of little branches, and they left them there.
brenm (n.)	eggplant	Mo shodé mô brenm-yé é mo graté tou endan-la pou kwi mô bren-yé é shevrèt é&nbsp; lavyann ashé.	I scalded my eggplants and I scraped everything from inside to cook the eggplant with shrimp and ground beef.
brìlé, brìl (v.)	to burn	To koup dìbwa frèn pou brìlé dan fwayé pou livær.	You cut ash wood to burn in the fireplace in the winter.
brìlè (n.)	burn	Dìfæ-la brìlè twa. To gen ìn brìlè.	The fire burned you. You have a burn.
brìlman-lèstoma (n.)	heartburn	Mo manjé patat dou. Ça donn mò brìlman-lèstoma.	I ate sweet potatoes. They give me heartburn.
briyé, briy (v.)	to shine	Tô bag ap briyé. Çé dê dyamon.	Your ring is shining. It's diamonds.
brizé, briz (v.)	to shatter	Mo lésé vaz-la tonbé é li brizé.	I let my vase fall and it shattered.
bwa (v.)	to drink	Dan tem-çala, yé té pa gen dê dolo galopé. To té gen mèt ìn brid en vyœ shval-la é kouri koté la rivyær é fé li bwa.	In those days they didn't have running water. You had to put a bridle on your horse and go by the river and make it drink.
bwason (n.)	Alcoholic drink	Yé t'apé&nbsp; bwa, yé gen wiski. yé gen la bwason.	They were driniking, they had whiskey, they had alcohol.
bwat (n.)	box	Mo ashté ìn bwat bal pou sèrvi dan mô pistole.	I bought an box of bullets to use in my pistol.
(la)byær (n.)	beer	Lontem pasé, yé té fé labyær osit. Yé ashté ìn siro, le minm siro ça yê sèrv pou fé dipin. Ina le lèven endan-la.	A long time ago they used to make beer too. They would buy a syrup, the same syrup they use to make bread. There is yeast in it.
byin (1. adj., 2. adv)	1. good, well<br>2. very	1. Mo koné tou moun-çayé byin.<br>2. Mo té byin malad kan mo té ìn ti piti.	1. I know all of those people well.<br>2. I was very sick when I was a child.
ça (pron.)	that, what, it, they		
ça-fé (conj.)	then, so	Li sharjé mwa si shèr. Ça fé mo sèyé mèné ça enba. Mo plenn.	He charged me so much. So I tried to bring it down. I complained.
-çala (det.)	that	Li né dan mézon-çala, wé, gran lamézon-çala.	He was born in that house, yes, that big house.
-ça(la)yé (det.)	those	Mwa mo pasé partou parmi çé betay-çayé, lê sèrpon, tou kèkshoj-çayé, çé té ìn gran zafær!	I walked everywhere among those animals, the snakes, all those things, it was quite something!
ça...? (conj.)	what...?		
çé (v.)	it is	Çé èl ki travay dan lakou.	It's her who works in the yard.
çé té (v.)	it was (sété is the imperfect conjugation of çé - it is)	To té bwa wiski, çé té paré kònm in bon m1edikamen.	If you drank whiskey it was jst like a good medicine.
-çila (det.)	this	To wa pyé-çila? Si mo voyé a twa, tô krò çé pyèr tònær ki koñé twa.	Do you see this foot? If I strike you with it, you will think that it's iron pyrite that I hit you with.
-çi(la)yé (det.)	these	Non, pa ìzé zonyon-çalayé, ìzé zonion-çilayé.	No, don't use those onions, use these onions.
chak (adj.)	tipsy (drunk)	Li té pa sou, li té chak.	He wasn't drunk, he was tipsy.
chaké, chak (v.)	to get drunk		
chéké, chèk (v.)	to check	Ina dê pata etoufé, astœr. Vou koupé li, transhé yé, é vou fri vou zònyon, é vou mèt li dan, zònyon-la, é vou mèt vou tap en la, é vou kit li é vou chéké li. Prenn ìn ti kiyær, vou tourné yé, brasé yé é mèt vou tap.	There are smothered potatoes, now. You cut them, slice them and fry your onions and put them in, the onions, and you put the lid on and you leave it&nbsp; and then check it later. Take a little spoon, stir them, stir them and put the lid on.
chì (n.)	butt	To fé myœ fé ça ou m'ap tayé to chì.	You'd better do that or I'm going to whip your ass.
-chin	own, that of, those of<br>*emphatic possesive marker (ex. mo-chin » mine)	A mo-chin idé...	In my opinion...
(la)chirout (n.)	diarrhea	Li manjé tèlmen laboushri li trapé lachirout.	He ate so much pork he got diarrhea.
chombo (v.)	1. to hold<br>2. to keep<br>3. to maintain	1. Li chombo kouto-la dan sô lamìn.<br>2. Çé ìn bas-kour pou chombo té poul.<br>3. To té fé ìn tit kaj apré ìn kiræy, é la té bloké li avèk ìn ti baton pou chombo lapòt ouvær.	1. He held the knife in his hand.<br>2. This is a barnyard to keep chickens.<br>3. You would make a little cage for a squirrel, and then you blocked it with a little stick to hold the door open.
choué, chou (v.)	to kill	Nonm-la trouvé choué par ìn shval.	The man had been found killed by a horse.
dakòr (int., n., adj.)	agreed (okay)	Mo té pa pou ça. Mé mo tonbé dakòr pou fé li.	I wasn't for it. But I agreed to it.
dan (prep.)	in, inside	Yé té fé labyær dan ìn gran djòg.	The made beer in a big jug.
dansé, dans (v.)	to dance	Yé t'apé dansé é bwa wiski, é tou kishòj.	They were daning and drinking whiskey and everything.
dærñær (adj.)	last	Dærñær jènèrasyon yé parlé meriken avèk yê piti.	The last gerneration they spoke english with their children.
dæryær (prep.)	behind	Li kashé dæryær ìn dìbwa li osit, é li gété pou wa sa li té gen pou fé.	He hid behind a tree also, and he looked to see what he should do.
demi (n.)	half	Si vou kontiné swiv shmin-la, ìn fwa va arivé apré ìn mil é demi, la vou va dan Chenal.	If you follow the road, once you have gone about a mile and a half go into Chenal.
den (n.)	tooth	Mo brosé mô den-yé.	I brushed my teeth.
de (n.)	two	Inavé de nom, ìn ki t'apé rabouré é lot ki t'apé gété li.	There were two men, one who was plowing and the other who was watching him.
débout (1. adj., 2. adv.)	1. standing<br>2. awake	1. Yé té pròsh dormi débout telman yé té las.<br>2. Apré li byin dormi, li lèv débout é li bwa sô kafé.	1. They were alsmost asleep standing up they were so tired.<br>2. After he has slept well, he gets up and he drinks his coffee.
dédi (n.)	deny, challenge	Mo sé démanti ça, dédi ça, sé di ke mo té pa fé ça.	I would have denied that, denied that, would have said I didn't do that.
défwa (adv.)	sometimes	Défwa ça sòrti dan kreyol parské la mo shoké.	Sometimes it comes out in creole because I'm mad.
dégouté (adj.)	depressed, discouraged	Mo vini dégouté apré tou piti-yé té maryé ke mo venn plas-la.	I got depressed after all the kids married that I sold the house.
déjœné, déjœn (1. n., 2. v.)	1. breakfast<br>2. to eat breakfast	To manj trwa repa par jou? Déjœné, diné é soupé.	Do you eat three meals per day? Breakfast, lunch and supper.
dékourajé (1. v., 2. adj.)	1. to discourage<br>2. discouraged	Vini pa la pou dékourajé boug-çayé kòm yê é kouri.	Don't come here and discuorage the men like that and then go.
déménajé, déménaj (v.)	to move (location)	Kan to déménajé ìn sha ifo pasé li pa la finèt paské si to pa fé ça sa donn twa malshans.	When you move a cat you need to not pass it through the window because it will give you bad luck.
démin (n.)	tomorrow	Mo pa koné si m'ap alé démin. M'ap lê twa koné.	I don't know if I'm going tomorrow. I'll let you know.
dépi (prep.)	since	Mo pa wa li dépi lané pasé.	I haven;t seen him since last year.
désann (v.)	to go down (descend), to get down	Kan mo désann, mo tonbé.	When I got down, I fell.
désemb (n.)	December		
dési (prep.)	on top, over	Kan li lashé rasin-la pou krashé dan sô mìn-yé, yé tou tonbé ìn dési lòt dan dolo-la.	When he let go of the root to spit in his hands, they all fell one on top of the other into the water.
détèstè, détès (v.)	to hate	Mo détèsté la sentir. Ça fé soufé.	I hate belts. They make you suffer.
dévan (prep.)	in front of, front	To gen ìn shyin dévan lamézon.	You have a dog in front of the house.
déyòr (1. adv., 2. prep)	1. outdoors, outside<br>2. out	1. To anbèté mò endan lamézon. Va joué déyòr.<br>2. Li pasé sô lamìn déyòr finèt-la.	1. You're bothering me in the house. Go play outside.<br>2. He put his hand out the window.
dézolè (adj.)	sorry		
dézòrd (1. adj., 2. n.)	1. wild, unruly,&nbsp;terrible, naughty<br>2. mess, disorder	1. Li fé tou kèkshoj ke li pa dwa fé. Li plen dézòrd.<br>2. Kan li fé dézòrd, mo babiyé li.	1. He does everything that he isn;t supposed to do. He's very wild.<br>2. When he makes a mess, I scold him.
dèt (v.)	to be	M'olé to dèt la jour-la, dìmansh.	I want you to be there that Sunday.
dèzyèm (adj.)	second	Mo dèzyèm frær li té né laba osit mé tou lòt piti-yé né isit.	My second brother was born there too but all the other kids were born here.
di (v.)	to say, to tell	Li di ìn segré a ça sœr.	He tells a secret to his sister.
dibonm (n.)	&nbsp;mint	Pou lafyev to bouyi dibonm dan dolo é prenn ça dan lété.	For fever you boil mint in water and take that in summer.
dbœr (n.)	butter	Li mèt dibœr-la en dìpen-la.	She put the butter on the bread.
dibwa (n.)	1. wood<br>2. woods	1. Yé té koupé dibwa pou shofé dan yé fwayé.<br>2. Li kouri a bòr dibwa.	1. They cut wood to heat in their fireplace.<br>2. He ran to the edge of the woods.
difæ (n.)	fire	Vou mèt li en stov-la, vou limen difè enba.	You put it on the stove, you light a fire under it.
diféran (adj.)	different	Yé gen ìn diferan kreyòl tou patou.&nbsp;	There are different Creoles everywhere.
diférans (n.)	difference	Ina dan yé ki blan, do. To pa kapab di la diférans.	Some of them were white, though. You can't tell the difference.
difwen (n.)	hay	Pay difwen pour li kapab shèsh.	Spread the hay so it can dry.
digri (n.)	grits	Li tamizé digri-la pou fé lafarin mayi-la.	SHe sifted the grits to make the cornmeal.
diji (n.)	juice	Mo prèsé diji a joranj-la.	I squeezed the juice from the orange.
(dì)lé (n.)	milk	No té gen ìn vash pou tiré pou gen dìlé.	We had a cow to milk to get our milk.
dìmansh (n.)	Sunday	Pròsh tou lê dìmansh ça, mo wa yé.	Almost every Sunday, I see them.
Dìmansh Ramo (n.)	Palm Sunday	To beni ça pou Dìmansh Ramo.	Bless that for Palm Sunday.
dìmyèl (n.)	honey	Ça ki myœ ke dìmyèl?	What's better than honey?
diné, dinn (n., v.)	1. lunch/dinner<br>2. to eat lunch/dinner	1. To sé donn yé dinen sé tòrné bæk di y'ol enkòr.<br>2. La fenm sé vini sèrvi nouzòt ìn lasyèt pou nouzòt dinè.	1. You would give then dinner, they would turn back and say they wanted more.<br>2. The woman would come serve us a plate for our lunch.
dìpen (n.)	bread	Ina moun ke manj deshou avèk dìpen mayi.	There are people that eat cabbage with cornbread.
dìré(v.)	to last (long)	Si to pa mèt tou kishoj pou fé la baryèr-la, l'ap alé rouyé é l'ap alé kasé. Li sé pa dìré.	If you don't put everything in to make the fence, it's going to rust and it's going to break. It won't last long.
dìri (n.)	rice	Mo di, mo pe trapé milé mon, lê maten, kouri hèrsé pou planté dìri.	I say, I can get my mule, in the mornings, go plow to plant rice.
dis (n.)	ten	To koné donn mò li kòm t'olé, dis pyas par mwa.	You can give me it like you want, 10 dollars a month.
dìsan (n.)	blood	Yé fé mô si-ton kolær ça fé dìsan bouyi.	They made me so mad it made my blood boil.
dìsìk (n.)	sugar	Mo pa kapab bwa li san dìsìk é dìsìk-la fé mò gro.	I can't drink it without sugar and sugar makes me fat.
dis-sèt (n.)	seventeen	Mô nonk ki pròn mò kan mo té gen dis-sèt mwa.	My uncle took me in when I was 17 months.
dìté (n.)	tea	Mo fré. M'apé fé mwa ìn tas dìté pou shofé mô.	I'm cold. I'm making myself a cup of tea to warm me up.
dìven (n.)	wind	Dìven-la jété mo garaj. Mo gen pou rebati li.&nbsp;	The wind knocked over my garage. I had to rebuild it.
dìvin (n.)	wine	Mo manjé byin, mo bwa dìvin, ça pa kouté aryin.	I eat well, Idrink wine, it doesn;t cost me anything.
diz-nèf (n.)	Nineteen		
diz-wit (n.)	Eighteen		
do (int.)	Though, you know	Yé parl pa keyol isit, do.	They don't speak creole here, though.
dolo (n.)	Water	Dolo-çala galop endan larivyær laba.	This water runs into the river down there.
dolo ho (n.)	Flood	Nou té ramas lamous 1927 kan dolo ho-la vini.	We were gathering moss in 1927 when the flood came.
domaj (n.)	1. shame, pity<br>2. damage	1. Çé domaj to pa kapab marché.<br>2. Inavé ìn ta diven é ça fé domaj dan mô lamézon.	1. It's a pity you can't walk.<br>2. There was a lot of wind and it did damage to my house.
donn (v.)	To give	Yé donn mwa ìn tas kafé san dìsik.	They gave me a cup of coffee without sugar.
dòrmi, dòr (v.)	To sleep	Non, li pa ap dòrmi, li ap benyé.	No, he isn't sleeping, he is taking a bath.
dòt (adj., pl.)	Other	Li té gen dòt boug ki té kouri vini.	He had other guys that were coming along.
dou (adj.)	Sweet	Yé pa dou, yé pa eg, yé yenk pa gen gou.	They aren't sweet, they aren't sour, they simply have no taste.
dousmen (adj., adv.)	slowly,&nbsp;softly,&nbsp;lightly, gently	Parl dousmen. Pa parl fòr kòm ça.	Speak softly. Don't speak loud like that.
