word	meaning	sent_lc	sent_en
soupé (n., v.)	1. supper, dinner<br>2. dish made of grilled inner organs<br>3. to have supper, to have dinner	1. To manj trwa repa par jou? Dejòné, diné é soupé?<br>2. In kishoj yé pèl larat ki dan tô lèstoma, é dan lèstoma in betay. To ka kwi ça osi. To pèl ça in soupé.<br>3. Mo sé soupé, mo sé kouri koushé.	1. Do you eat three meals a day? Breakfast, lunch and dinner?<br>2. A thing they call your spleen which is in your stomach and in an animal's stomach. You can cook it too, they call that a soupé.<br>3. I would eat supper and then I would go to bed.
soutærin (n.)	basement		
souven (adv.)	often	Yé vyin pa malad osi souvan. Tan myè!	They don't get sick as often. So much the better!
sto (n.)	store	Mé nou té pa kour endan le sto ashté tou kèkshoj kònm astèr.	But we didn't go and buy everything at the store like we do now.
stov (n.)	stove, oven	Piti-la toushé stov-la, é li brilé sô lamin.	The child touched the stove and he burned his hand.
stìl (adv.)	still	Kan yé oté wiski, nonm fé stil, fé wiski mayi.	When they outlawed whiskey, men made stills to make corn whiskey.
supærb (adj.)	super, wonderful	"...fé in tem syperb pou parenn rivé."	The weather is beautiful for when the godfather arrives.
sur (prep.)	on	To mèt li dan microwave-la é kan li sho, to mèt li sir dibèr é dipin.	You put it in the microwave, and when it's hot you put it on butter and bread.
surtou (adv.)	especially, above all	To gin pou fé tansyon to pa glisé, surtou kan lapli tonmb. Çé glisan.	You have to be careful you don't slip, especially when it's raining. It's slippery.
swaf (n.)	thirst	Mo révéyé avèk in laswaf ki té apé graté mô gargan.	I woke up with a thirst scratching my throat.
swar (n.)	evening	In swar li té rentré tar byin piké, li pren babiyé avèk sô fenm.	One evening he came in late and started to quarrel with his wife.
swasant (n.)	sixty	Li gin swasant en mwa-çala.	He's sicty years old this month.
swasant-dis (n.)	seventy	Li gin swasant-diz-wit zan.	She is seventy eightyears old.
swasant-é-ènn (n.)	sixty one		
swasant-onz (n.)	seventy one		
swaté, swat (v.)	1. to wish<br>2. to hope	1. Mo swat yé byin nouvo lannen.<br>2. Mo swèt mo pe trouvé in nòt djòb kan çila va fini.	1. I wish them a Happy New Year.<br>2. I hope I can find another job when this one ends.
swèr (n.)	sweat	É li jwé li kònm-çala, jishka yé té tou tronp de swèr é yé té pa kapab dansé.	And he played like that until they were all soaked with sweat and could no longer danse.
